[W 260923 10:34:10 smartWebSocketV2:318] Attempting to resubscribe/reconnect (Attempt 1)...
[I 260923 10:34:12 smartConnect:496] Search successful. Found 7220 trading symbols for the given query:
    141. exchange: NFO, tradingsymbol: NIFTY03NOV2621650CE, symboltoken: 53497
    142. exchange: NFO, tradingsymbol: NIFTY03NOV2621650PE, symboltoken: 53498
    143. exchange: NFO, tradingsymbol: NIFTY03NOV2621700CE, symboltoken: 53499
    144. exchange: NFO, tradingsymbol: NIFTY03NOV2621700PE, symboltoken: 53500
    145. exchange: NFO, tradingsymbol: NIFTY03NOV2621750CE, symboltoken: 53503
    146. exchange: NFO, tradingsymbol: NIFTY03NOV2621750PE, symboltoken: 53504
    147. exchange: NFO, tradingsymbol: NIFTY03NOV2621800CE, symboltoken: 53505
    148. exchange: NFO, tradingsymbol: NIFTY03NOV2621800PE, symboltoken: 53510
    149. exchange: NFO, tradingsymbol: NIFTY03NOV2621850CE, symboltoken: 53515
    150. exchange: NFO, tradingsymbol: NIFTY03NOV2621850PE, symboltoken: 53516
    151. exchange: NFO, tradingsymbol: NIFTY03NOV2621900CE, symboltoken: 53517
    152. exchange: NFO, tradingsymbol: NIFTY03NOV2621900PE, symboltoken: 53518
    153. exchange: NFO, tradingsymbol: NIFTY03NOV2621950CE, symboltoken: 53519
    154. exchange: NFO, tradingsymbol: NIFTY03NOV2621950PE, symboltoken: 53524
    155. exchange: NFO, tradingsymbol: NIFTY03NOV2622000CE, symboltoken: 53525
    156. exchange: NFO, tradingsymbol: NIFTY03NOV2622000PE, symboltoken: 53542
    157. exchange: NFO, tradingsymbol: NIFTY03NOV2622050CE, symboltoken: 53543
    158. exchange: NFO, tradingsymbol: NIFTY03NOV2622050PE, symboltoken: 53558
    159. exchange: NFO, tradingsymbol: NIFTY03NOV2622100CE, symboltoken: 53571
    160. exchange: NFO, tradingsymbol: NIFTY03NOV2622100PE, symboltoken: 53576
    161. exchange: NFO, tradingsymbol: NIFTY03NOV2622150CE, symboltoken: 53577
    162. exchange: NFO, tradingsymbol: NIFTY03NOV2622150PE, symboltoken: 53635
    163. exchange: NFO, tradingsymbol: NIFTY03NOV2622200CE, symboltoken: 53636
    164. exchange: NFO, tradingsymbol: NIFTY03NOV2622200PE, symboltoken: 53655
    165. exchange: NFO, tradingsymbol: NIFTY03NOV2622250CE, symboltoken: 53656
    166. exchange: NFO, tradingsymbol: NIFTY03NOV2622250PE, symboltoken: 53661
    167. exchange: NFO, tradingsymbol: NIFTY03NOV2622300CE, symboltoken: 53662
    168. exchange: NFO, tradingsymbol: NIFTY03NOV2622300PE, symboltoken: 53663
    169. exchange: NFO, tradingsymbol: NIFTY03NOV2622350CE, symboltoken: 53664
    170. exchange: NFO, tradingsymbol: NIFTY03NOV2622350PE, symboltoken: 53667
    171. exchange: NFO, tradingsymbol: NIFTY03NOV2622400CE, symboltoken: 53668
    172. exchange: NFO, tradingsymbol: NIFTY03NOV2622400PE, symboltoken: 53679
    173. exchange: NFO, tradingsymbol: NIFTY03NOV2622450CE, symboltoken: 53680
